key|Family1:address_syn|Family1:cap|Family1:city|Family1:civic|Family1:codice_toponimo|Family1:data_inserimento|Family1:latitude|Family1:longitude|Family1:name|Family1:objectType|Family1:process|Family1:province|Family1:streetAddress|Family1:timestamp|servizio_associato
rivendita2180|VIA DELL'ANTELLA|50012|BAGNO A RIPOLI|22|RT04800100285TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7274276867|11.3227341657|Rivendita TUCCI TIZIANA|rivendita|Rivendite_ataf_xml|FI|VIA ANTELLA|1433965531317|RT04800100285TO
rivendita2181|VIA DELL'ANTELLA|50012|BAGNO A RIPOLI|58|RT04800100285TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7274276867|11.3227341657|Rivendita EDICOLA F.LLI DE LOSA S.N.C.|rivendita|Rivendite_ataf_xml|FI|VIA ANTELLA|1433965531320|RT04800100285TO
rivendita2182|VIA DELL'ANTELLA|50012|BAGNO A RIPOLI|61|RT04800100285TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7274276867|11.3227341657|Rivendita CAFFETTERIA L'ERA L'ORA  S.R.L.|rivendita|Rivendite_ataf_xml|FI|VIA ANTELLA|1433965531321|RT04800100285TO
rivendita2188|VIA DANTE ALIGHIERI|50012|BAGNO A RIPOLI|15|RT04800100358TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7320370966|11.2933369119|Rivendita SERNI  MONICA - GRASSINA|rivendita|Rivendite_ataf_xml|FI|VIA ALIGHIERI DANTE|1433965531322|RT04800100358TO
rivendita2189|VIA DANTE ALIGHIERI|50012|BAGNO A RIPOLI|9|RT04800100358TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7320370966|11.2933369119|Rivendita UNICOOP GRASSINA|rivendita|Rivendite_ataf_xml|FI|VIA ALIGHIERI DANTE|1433965531325|RT04800100358TO
rivendita2191|VIA FRATELLI ORSI|50012|BAGNO A RIPOLI|5|RT04800100045TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.752779538|11.3210321597|Rivendita EDICOLA CHIARUSI CINZIA|rivendita|Rivendite_ataf_xml|FI|VIA ORSI|1433965531326|RT04800100045TO
rivendita2195|VIA PIAN DI GRASSINA|50012|BAGNO A RIPOLI|144|RT04800100038TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7198355601|11.284901597|Rivendita SANDRO E ALEF di S. LUNGHI E C.  S.A.S.|rivendita|Rivendite_ataf_xml|FI|VIA PIAN DI GRASSINA|1433965531328|RT04800100038TO
rivendita2196|VIA PIAN DI GRASSINA|50012|BAGNO A RIPOLI|20|RT04800100038TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7198355601|11.284901597|"Rivendita "" LA PIAZZETTA ""  DI GRAGNOLI S. - GRASSINA"|rivendita|Rivendite_ataf_xml|FI|VIA PIAN DI GRASSINA|1433965531329|2fc38038844f8b4bcaf3d71ddb01556c
rivendita2197|VIA PIAN DI GRASSINA|50012|BAGNO A RIPOLI|51|RT04800100038TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7198355601|11.284901597|Rivendita BAR DURIMI  -  GRASSINA|rivendita|Rivendite_ataf_xml|FI|VIA PIAN DI GRASSINA|1433965531331|RT04800100038TO
rivendita2198|VIA ROMA|50012|BAGNO A RIPOLI||RT04800100001TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7522172978|11.3194578665|Rivendita EDICOLA MENCATTELLI - CROCE A VARLIANO|rivendita|Rivendite_ataf_xml|FI|VIA ROMA|1433965531332|RT04800100001TO
rivendita2199|VIA ROMA|50012|BAGNO A RIPOLI|11|RT04800100001TO|Wed Jun 10 2015 21:45:31 GMT+0200 (CEST)|43.7522172978|11.3194578665|"Rivendita ""BAR SUPREMO"""|rivendita|Rivendite_ataf_xml|FI|VIA ROMA|1433965531335|RT04800100001TO
